,Food,Measure,Grams,Calories,Protein,Carb,Fiber,Fat,Sat_fat,Product Type
0,"Cows' milk, whole",1 qt.,976,660,32,48,0,40,36,Dairy
1,skim,1 qt.,984,360,36,52,0,t,t,Dairy
2,"Buttermilk, cultured",1 cup,246,127,9,13,0,5,4,Dairy
3,"Evaporated, undiluted",1 cup,252,345,16,24,0,20,18,Dairy
4,Fortified milk,6 cups,"1,419","1,373",89,119,1.4,42,23,Dairy
5,"Powdered milk, whole",1 cup,103,515,27,39,0,28,24,Dairy
6,"skim, instant",1 1/3 cups,85,290,30,42,0,t,t,Dairy
7,"skim, non-instant",2/3 cup,85,290,30,42,1,t,t,Dairy
8,"Goats' milk, fresh",1 cup,244,165,8,11,0,10,8,Dairy
9,Malted milk,,,,,,,,,Dairy
10,(1/2 cup ice cream),2 cups,540,690,24,70,0,24,22,Dairy
11,Cocoa,1 cup,252,235,8,26,0,11,10,Dairy
12,"Yogurt, of partially",,,,,,,,,Dairy
13,skim. milk,1 cup,250,128,18,13,1,4,3,Dairy
14,Milk pudding,,,,,,,,,Dairy
15,(cornstarch),1 cup,248,275,9,40,0,10,9,Dairy
16,"Custard, baked",1 cup,248,285,13,28,0,14,11,Dairy
17,"Ice cream, commercial",1 cup,188,300,6,29,0,18,16,Dairy
18,"Ice milk, commercial",1 cup,190,275,9,32,0,10,9,Dairy
19,"Cream, light,",,,,,,,,,Dairy
20,or half-and-half,1/2 cup,120,170,4,5,0,15,13,Dairy
21,"Cream, heavy,",,,,,,,,,Dairy
22,or whipping,1/2 cup,119,430,2,3,1,44,27,Dairy
23,"Cheese, cottage, creamed",1 cup,225,240,30,6,0,11,10,Dairy
24,uncreamed,1 cup,225,195,38,6,0,t,t,Dairy
25,"Cheddar, orAmerican",1-in. cube,17,70,4,t,0,6,5,Dairy
26,"Cheddar, grated cup",1/2 cup,56,226,14,1,0,19,17,Dairy
27,Cream cheese,1 oz.,28,105,2,1,0,11,10,Dairy
28,Processed cheese,1 oz.,28,105,7,t,0,9,8,Dairy
29,Roquefort type,1 oz.,28,105,6,t,0,9,8,Dairy
30,Swiss,1 oz.,28,105,7,t,0,8,7,Dairy
31,"Eggs, boiled, poached,",,,,,,,,,Dairy
32,or raw,2,100,150,12,t,0,12,10,Dairy
33,"Scrambled,omelet,",,,,,,,,,Dairy
34,or fried,2,128,220,13,1,0,16,14,Dairy
35,Butter,1T.,14,100,t,t,0,11,10,"Oils, fats and shortenings"
36,Butter,1/2 cup,,,,,,,,"Oils, fats and shortenings"
37,or,1/4 lb.,112,800,t,1,0,90,80,"Oils, fats and shortenings"
38,Hydrogenated cooking fat,1/2 cup,100,665,0,0,0,100,88,"Oils, fats and shortenings"
39,Lard,1/2 cup,110,992,0,0,0,110,92,"Oils, fats and shortenings"
40,"Margarine, 1/2 pound or",1/2 cup,112,806,t,t,0,91,76,"Oils, fats and shortenings"
41,"Margarine, 2 pat or",1 T.,14,100,t,t,0,11,9,"Oils, fats and shortenings"
42,Mayonnaise,1 T.,15,110,t,t,0,12,5,"Oils, fats and shortenings"
43,Oils,,,,,,,,,"Oils, fats and shortenings"
44,"Corn,soy,peanut",,,,,,,,,"Oils, fats and shortenings"
45,orcottonseed,1 T.,14,125,0,0,0,14,5,"Oils, fats and shortenings"
46,Olive,1T.,14,125,0,0,0,14,3,"Oils, fats and shortenings"
47,"Safflower,sunflower",,,,,,,,,"Oils, fats and shortenings"
48,"seed,walnut",1 T.,14,125,0,0,0,14,3,"Oils, fats and shortenings"
49,Salad dressing,,,,,,,,,"Oils, fats and shortenings"
50,French,1 T.,15,60,t,2,0,6,2,"Oils, fats and shortenings"
51,Thousand Island,1 T.,15,75,t,1,0,8,3,"Oils, fats and shortenings"
52,"Bacon, crisp, drained",2 slices,16,95,4,1,0,8,7,Meat and poultry
53,"Beef, chuck, pat-roasted",3 oz.,85,245,23,0,0,16,15,Meat and poultry
54,"Hamburger, commercial",3 oz.,85,245,21,0,0,17,15,Meat and poultry
55,Ground lean,3 oz.,85,185,24,0,0,10,9,Meat and poultry
56,"Roast beef,",,,,,,,,,Meat and poultry
57,oven-cooked,3 oz.,85,390,16,0,0,36,35,Meat and poultry
58,"Steak, assirloin",3 oz.,85,330,20,0,0,27,25,Meat and poultry
59,"Steak, lean, as round",3 oz.,85,220,24,0,0,12,11,Meat and poultry
60,Corned beef,3 oz.,85,185,22,0,0,10,9,Meat and poultry
61,"Corned beef hash,",,,,,,,,,Meat and poultry
62,canned,3 oz.,85,120,12,6,t,8,7,Meat and poultry
63,Driedorchipped,2 oz.,56,115,19,0,0,4,4,Meat and poultry
64,"Pot-pie, 4 1/2"" diameter",1 pie,227,480,18,32,t,28,25,Meat and poultry
65,"Stew, withvegetables",1 cup,235,185,15,15,t,10,9,Meat and poultry
66,chicken; broiled,3 oz.,85,185,23,0,0,9,7,Meat and poultry
67,"Fried, breast or",,,,,,,,,Meat and poultry
68,leg and thigh,3 oz.,85,245,25,0,0,15,11,Meat and poultry
69,Roasted,3 1/2 oz.,100,290,25,0,0,20,16,Meat and poultry
70,"Chicken livers, fried",3 med.,100,140,22,2.30,0,14,12,Meat and poultry
71,"Duck, domestic",3 1/2 oz.,100,370,16,0,0,28,0,Meat and poultry
72,"Lamb, chop, broiled",4 oz.,115,480,24,0,0,35,33,Meat and poultry
73,Leg roasted,3 oz.,86,314,20,0,0,14,14,Meat and poultry
74,"Shoulder, braised",3 oz.,85,285,18,0,0,23,21,Meat and poultry
75,"Pork, chop, 1 thick",3 1/2 oz.,100,260,16,0,0,21,18,Meat and poultry
76,"Ham, cured, and",,,,,,,,,Meat and poultry
77,pan-broiled,3 oz.,85,290,16,0,0,22,19,Meat and poultry
78,"Ham, asluncheon meat",2 oz.,57,170,13,0,0,13,11,Meat and poultry
79,"Ham, canned, spiced",2 oz.,57,165,8,1,0,14,12,Meat and poultry
80,Pork roast,3 oz.,85,310,21,0,0,24,21,Meat and poultry
81,"Pork sausage, bulk",3 1/2 oz.,100,475,18,0,0,44,40,Meat and poultry
82,"Turkey, roasted",3 1/2 oz.,100,265,27,0,0,15,0,Meat and poultry
83,"Veal, cutlet, broiled",3 oz.,85,185,23,0,0,9,8,Meat and poultry
84,"Clams, steamed or canned",3 oz.,85,87,12,2,0,1,0,Fish and seafood
85,"Cod, broiled",3 1/2 oz.,100,170,28,0,0,5,0,Fish and seafood
86,"Crab meat, cooked",3 oz.,85,90,14,1,0,2,0,Fish and seafood
87,"Fish sticks, breaded,",,,,,,,,,Fish and seafood
88,fried,5,112,200,19,8,0,10,5,Fish and seafood
89,"Flounder, baked",3 1/2 oz.,100,200,30,0,0,8,0,Fish and seafood
90,"Haddock, fried",3 oz.,85,135,16,6,0,5,4,Fish and seafood
91,"Halibut, broiled",3 1/2 oz.,100,182,26,0,0,8,0,Fish and seafood
92,"Herring, kippered",1 small,100,211,22,0,0,13,0,Fish and seafood
93,"Lobster, steamed",aver.,100,92,18,t,0,1,0,Fish and seafood
94,"Mackerel, canned",3 oz.,85,155,18,0,a,9,0,Fish and seafood
95,"Oysters, raw",6-8 med.,,,,,,,,Fish and seafood
96,or 1/2 cup,120,85,8,3,0,2,0,,Fish and seafood
97,"Oyster stew, made",,,,,,,,,Fish and seafood
98,with milk,1 cup,230,200,11,11,0,12,0,Fish and seafood
99,"Salmon, canned",3 oz.,85,120,17,0,0,5,1,Fish and seafood
100,"Sardines, canned",3 oz.,85,180,22,0,0,9,4,Fish and seafood
101,"Scallops, breaded, fried",3 1/2 oz.,100,104,18,10,0,8,0,Fish and seafood
102,"Shad, baked",3 oz.,85,170,20,0,0,10,0,Fish and seafood
103,"Shrimp, steamed",3 oz.,85,110,23,0,0,1,0,Fish and seafood
104,"Swordfish, broiled",1 steak,100,180,27,0,0,6,0,Fish and seafood
105,"Artichoke, globe",1 large,100,8-44,2,10+,2,t,t,Vegetables
106,"Asparagus, green",6 spears,96,18,1,3,0.5,t,t,Vegetables
107,"Beans, green snap",1 cup,125,25,1,6,0.8,t,t,Vegetables
108,"Lima, green",1 cup,160,140,8,24,3.0,t,t,Vegetables
109,"Lima, dry, cooked",1 cup,192,260,16,48,2,t,t,Vegetables
110,"Navy, baked with pork",3/4 cup,200,250,11,37,2,6,6,Vegetables
111,"Red kidney, canned",1 cup,260,230,15,42,2.5,1,0,Vegetables
112,"Bean sprouts, uncooked",1 cup,50,17,1,3,0.3,t,0,Vegetables
113,"Beet greens, steamed",1 cup,100,27,2,6,1.4,t,0,Vegetables
114,"Beetroots, boiled",1 cup,165,1,12,0.80,t,0,,Vegetables
115,"Broccoli, steamed",1 cup,150,45,5,8,1.9,t,0,Vegetables
116,"Brussels sprouts, steamedCabbage, ascoleslaw",1 cup,130,60,6,12,1.7,t,0,Vegetables
117,"Sauerkraut, canned",1 cup,150,32,1,7,1.2,t,0,Vegetables
118,Steamed cabbage,1 cup,170,40,2,9,1.3,t,0,Vegetables
119,"Carrots,cooked,diced",1 cup,150,45,1,10,0.9,t,0,Vegetables
120,"Raw, grated",1 cup,110,45,1,10,1.2,t,0,Vegetables
121,"Strips, from raw",1 mad.,50,20,t,5,0.5,t,0,Vegetables
122,"Cauliflower, steamed",1 cup,120,30,3,6,1,t,0,Vegetables
123,"Celery, cooked, diced",1 cup,100,20,1,4,1,t,0,Vegetables
124,Stalk raw,1 large,40,5,1,1,0.3,t,0,Vegetables
125,"Chard steamed, leaves and stalks",1 cup,150,30,2,7,1.4,t,0,Vegetables
126,"Collards,steamed leaves",1 cup,150,51,5,8,2,t,0,Vegetables
127,"Corn,steamed,",1 ear,100,92,3,21,0.8,1,t,Vegetables
128,cooked or canned,1 cup,200,170,5,41,1.6,t,0,Vegetables
129,"Cucumbers, 1/8"" slices",8,50,6,t,1,0.2,0,0,Vegetables
130,"Dandelion greens, steamed",1 cup,180,80,5,16,3.2,1,0,Vegetables
